student_key,course_key,snapshot_date,academic_period_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,top_material_type,no_activity_flag,risk_label
94,1,2026-07-07,2,417,35,25,164,46,11.914285714285715,83.4,0.11031175059952038,0.3932853717026379,134,107,160,0,0,Course Page,0,0
96,1,2026-07-07,2,780,74,45,653,188,10.54054054054054,73.78378378378379,0.24102564102564103,0.8371794871794872,78,351,337,12,0,Assignment,0,1
97,1,2026-07-07,2,157,35,15,39,54,4.485714285714286,31.4,0.34394904458598724,0.2484076433121019,51,45,56,5,0,Course Page,0,1
98,1,2026-07-07,2,145,23,15,67,31,6.304347826086956,44.130434782608695,0.21379310344827587,0.46206896551724136,48,29,66,0,0,Course Page,0,1
99,1,2026-07-07,2,417,49,35,77,31,8.510204081632653,59.57142857142857,0.07434052757793765,0.18465227817745802,124,78,183,12,0,Course Page,0,0
100,1,2026-07-07,2,57,20,5,8,6,2.85,19.95,0.10526315789473684,0.14035087719298245,1,2,53,1,0,Course Page,0,1
101,1,2026-07-07,2,733,50,29,296,161,14.66,102.61999999999999,0.21964529331514324,0.4038199181446112,171,118,423,0,0,Course Page,0,1
102,1,2026-07-07,2,121,15,11,53,24,8.066666666666666,56.46666666666667,0.19834710743801653,0.4380165289256198,21,43,57,0,0,Course Page,0,1
103,1,2026-07-07,2,444,81,44,215,128,5.481481481481482,38.370370370370374,0.2882882882882883,0.48423423423423423,40,160,234,5,0,Course Page,0,0
104,1,2026-07-07,2,421,72,27,140,80,5.847222222222222,40.93055555555555,0.19002375296912113,0.332541567695962,119,143,101,36,0,Assignment,0,0
105,1,2026-07-07,2,211,40,21,90,30,5.275,36.925,0.14218009478672985,0.4265402843601896,35,74,95,5,0,Course Page,0,1
106,1,2026-07-07,2,638,68,42,395,140,9.382352941176471,65.6764705882353,0.219435736677116,0.6191222570532915,66,188,345,7,0,Course Page,0,1
107,1,2026-07-07,2,678,69,45,174,108,9.826086956521738,68.78260869565217,0.1592920353982301,0.25663716814159293,150,180,300,2,0,Course Page,0,0
108,1,2026-07-07,2,333,32,24,260,79,10.40625,72.84375,0.23723723723723725,0.7807807807807807,104,66,151,9,0,Course Page,0,0
109,1,2026-07-07,2,205,30,18,103,6,6.833333333333333,47.833333333333336,0.02926829268292683,0.5024390243902439,39,46,110,0,0,Course Page,0,0
110,1,2026-07-07,2,251,30,29,194,56,8.366666666666667,58.56666666666667,0.22310756972111553,0.7729083665338645,36,104,104,2,0,Assignment,0,1
111,1,2026-07-07,2,257,25,33,153,18,10.28,71.96,0.07003891050583658,0.5953307392996109,15,147,92,1,0,Assignment,0,1
112,1,2026-07-07,2,189,26,23,79,31,7.269230769230769,50.88461538461538,0.164021164021164,0.41798941798941797,20,80,77,2,0,Assignment,0,0
113,1,2026-07-07,2,502,67,29,198,77,7.492537313432836,52.44776119402985,0.15338645418326693,0.3944223107569721,54,120,293,1,0,Course Page,0,1
114,1,2026-07-07,2,157,22,22,85,4,7.136363636363637,49.95454545454545,0.025477707006369428,0.5414012738853503,15,92,46,0,0,Assignment,0,0
115,1,2026-07-07,2,455,47,27,73,70,9.680851063829786,67.76595744680851,0.15384615384615385,0.16043956043956045,106,151,195,2,0,Course Page,0,0
116,1,2026-07-07,2,127,18,13,91,43,7.055555555555555,49.388888888888886,0.33858267716535434,0.7165354330708661,11,45,62,8,0,Course Page,0,1
117,1,2026-07-07,2,105,20,21,8,9,5.25,36.75,0.08571428571428572,0.0761904761904762,26,53,23,2,0,Assignment,0,0
118,1,2026-07-07,2,803,74,31,219,117,10.85135135135135,75.95945945945947,0.14570361145703611,0.2727272727272727,143,351,295,7,0,Assignment,0,0
119,1,2026-07-07,2,165,29,21,66,9,5.689655172413793,39.82758620689655,0.05454545454545454,0.4,37,59,66,0,0,Course Page,0,0
120,1,2026-07-07,2,191,37,15,42,34,5.162162162162162,36.13513513513514,0.17801047120418848,0.2198952879581152,63,35,90,3,0,Course Page,0,0
121,1,2026-07-07,2,230,27,32,108,45,8.518518518518519,59.629629629629626,0.1956521739130435,0.46956521739130436,76,40,100,2,0,Course Page,0,1
122,1,2026-07-07,2,171,22,23,12,4,7.7727272727272725,54.409090909090914,0.023391812865497075,0.07017543859649122,38,66,59,0,0,Assignment,0,0
123,1,2026-07-07,2,134,21,26,64,13,6.380952380952381,44.666666666666664,0.09701492537313433,0.47761194029850745,46,38,44,4,0,Lecture Material,0,1
124,1,2026-07-07,2,599,89,29,211,134,6.730337078651686,47.1123595505618,0.22370617696160267,0.35225375626043404,191,65,320,22,0,Course Page,0,0
125,1,2026-07-07,2,669,89,33,185,153,7.51685393258427,52.61797752808989,0.22869955156950672,0.2765321375186846,200,107,351,8,0,Course Page,0,0
126,1,2026-07-07,2,205,29,19,22,83,7.068965517241379,49.48275862068965,0.40487804878048783,0.1073170731707317,34,88,78,2,0,Assignment,0,0
127,1,2026-07-07,2,169,28,19,91,35,6.035714285714286,42.25,0.20710059171597633,0.5384615384615384,36,50,83,0,0,Course Page,0,1
128,1,2026-07-07,2,230,44,23,71,45,5.2272727272727275,36.59090909090909,0.1956521739130435,0.30869565217391304,19,97,104,5,0,Course Page,0,1
129,1,2026-07-07,2,662,60,33,264,156,11.033333333333333,77.23333333333333,0.23564954682779457,0.3987915407854985,164,162,309,1,0,Course Page,0,1
130,1,2026-07-07,2,183,31,15,70,30,5.903225806451613,41.32258064516129,0.16393442622950818,0.3825136612021858,35,76,72,0,0,Assignment,0,1
131,1,2026-07-07,2,261,35,29,76,37,7.457142857142857,52.2,0.1417624521072797,0.29118773946360155,72,72,102,8,0,Course Page,0,0
132,1,2026-07-07,2,341,42,27,97,27,8.119047619047619,56.833333333333336,0.07917888563049853,0.2844574780058651,28,127,169,10,0,Course Page,0,0
133,1,2026-07-07,2,157,18,18,49,16,8.722222222222221,61.05555555555555,0.10191082802547771,0.31210191082802546,25,54,70,0,0,Course Page,0,1
